verdict,intervention,evidence (1-5),benefit (1-5),score (E x B),safety,effort,access,mechanism / target,what to measure,conflicts & cautions,why this score
TEST FIRST,ApoB,5,5,25,OK,trivial,lab test,atherogenic particle count,annual; q8wk during titration,none,"E5: the input to the single best-evidenced intervention available to you. B5: ASCVD is the #1 lifetime cause of death for a US male. Treat this number, not LDL-C."
DO NOW,"ApoB to <60 mg/dL - statin (rosuvastatin or atorvastatin, generic)",5,5,25,MONITOR,trivial,"Rx, $4-15/mo",HMG-CoA reductase,ApoB at 8 weeks; ALT once at baseline,do not stack with red yeast rice (same molecule); berberine raises exposure via CYP3A4,"E5: three decades of RCTs with hard outcomes. B5: ASCVD is the #1 lifetime cause of death and cumulative ApoB exposure is the driver - Mendelian randomisation gives roughly 3x the risk reduction per mmol/L for lifelong versus mid-life lowering. Starting at 39 rather than 55 is the whole argument. This single generic moves a typical 39-year-old from roughly ApoB 100 to roughly 60 for about $60/year - the largest and cheapest increment available. Reassurance for your hormone stack: the 2024 meta-analysis (21 studies, 9,879 patients) found statins lower TOTAL testosterone by ~13 ng/dL in RCTs, not below the normal range, with no change in FREE testosterone, LH, estradiol or SHBG."
CONFIRM,Nicotine and tobacco: none,5,5,25,OK,trivial,free,"carcinogen, endothelial, thrombotic",n/a,none,"E5 x B5: the single highest-value item in all of preventive medicine, conditional on being a user. Listed for completeness - a competing-risk inventory that omits it is not an inventory. Note that nicotine pouches are not a free pass: the cardiovascular and oral-mucosal exposures are real even without combustion."
DO IF off target,PCSK9i - evolocumab / alirocumab / inclisiran,5,5,25,OK,high,"Rx, ~$500-600/mo cash",PCSK9 / LDL receptor recycling,ApoB; Lp(a),none known; additive with statin by design,"E5: FOURIER and ODYSSEY established hard-outcome benefit. B5: same target as the statin, deeper. Scores identically to the generic statin because it is genuinely that good - the difference is entirely in the effort column. Prior authorisation generally requires established ASCVD or HeFH, which you do not have."
DO NOW,Blood pressure to <120 systolic,5,4,20,MONITOR,trivial,lifestyle; Rx generics if needed,vascular load,home BP series; potassium and creatinine if on a drug,none,"E5: SPRINT plus dozens of RCTs with hard outcomes. B4: enormous if you are hypertensive, near-zero if you are not - which is why the home cuff comes first. Restored after being dropped in the last revision; its absence was a genuine regression."
TEST FIRST,Home blood pressure series,5,4,20,OK,trivial,device ~$50,vascular load,"weekly 7-day averages, AM/PM",none,"E5: SPRINT and dozens of RCTs, hard outcomes. B4: enormous if elevated, zero if not - so this is a test before it is a therapy. Office readings are noise."
DO NOW,Cancer screening on schedule,5,4,20,OK,low,insurance,early detection,colonoscopy at 45; skin annually,none,"E5: sigmoidoscopy and FIT RCTs show mortality reduction; NordICC was intention-to-treat disappointing but per-protocol positive. B4: cancer is the #2 lifetime cause. Mostly a calendar problem, not a decision problem."
DO NOW,Cardiorespiratory fitness training,4,5,20,OK,moderate,free,"mitochondrial, vascular, metabolic",VO2max annually,rapamycin and metformin both blunt training adaptation; high-dose antioxidants blunt the hormetic signal,"E4: RCTs with hard outcomes exist in cardiac and HF populations, plus an enormous consistent cohort literature in healthy adults. B5: moves the #1 cause of death and the dementia risk curve simultaneously. Zone 2 ~3h/wk plus 1-2 VO2max intervals."
TEST FIRST,DEXA body composition,4,4,16,OK,trivial,~$75,lean mass,2x/yr while on a GLP-1,none,E4: the reference method for lean mass. B4: it is the only way to catch GLP-1-driven lean-mass loss early. Segmental BIA (Withings Body Comp) drifts with hydration and will not resolve the 1-2 kg changes that matter.
DO NOW,Depression screening and treatment access,4,4,16,OK,trivial,insurance,"mood, suicide risk",PHQ-9 annually,none,"E4: screening plus access to treatment reduces morbidity, and treatment RCTs are solid. B4: suicide is among the leading causes of death for US males aged 35-44, alongside unintentional injury. Its absence from every longevity list is the same blind spot that omits seatbelts - these lists optimise for the diseases of the old while ignoring what actually kills men in their forties."
